iter	RMSE
240	0.3334486606
241	0.333331916
242	0.3331698851
243	0.333055176
244	0.3328584545
245	0.3327129785
246	0.3325518148
247	0.3323586119
248	0.3322024505
249	0.3321010554
250	0.3319495162
251	0.3317960618
252	0.3316462701
253	0.3314994341
254	0.3313644177
255	0.3311967722
256	0.3310602308
257	0.3309436771
258	0.330827275
259	0.330691365
260	0.3305437121
261	0.3304528283
262	0.3303738772
263	0.3302359135
264	0.3301143731
265	0.3300101516
266	0.3298604377
267	0.3297282666
268	0.3296021086
269	0.3294901871
270	0.3293732244
271	0.3292766525
272	0.3291586889
273	0.3290413766
274	0.3289362692
275	0.328808372
276	0.328681445
277	0.3285687365
278	0.328444722
279	0.3283168578
280	0.3282264975
281	0.3280979414
282	0.327931256
283	0.3278296161
284	0.3277350869
285	0.3276162622
286	0.3275286984
287	0.3273999693
288	0.327269159
289	0.3271518656
290	0.327054415
291	0.3269168871
292	0.3267085512
293	0.3265404035
294	0.326432986
295	0.3263557454
296	0.3261814164
297	0.3260711938
298	0.3259590107
299	0.3258399233
300	0.3257454196
301	0.3256707007
302	0.325537813
303	0.3254273433
304	0.3253171326
305	0.3251644463
306	0.3250075956
307	0.3248969313
308	0.3247910184
309	0.3246814023
310	0.3245750922
311	0.3244269585
312	0.3243591021
313	0.3242721789
314	0.3240929658
315	0.3240382824
316	0.3238259663
317	0.3236731015
318	0.3235816616
319	0.3234910433
320	0.3233874452
321	0.3232556007
322	0.3231147761
323	0.3230001794
324	0.3228826767
325	0.3227821603
326	0.3226557026
327	0.3225085232
328	0.3223200713
329	0.3222412457
330	0.3221100944
331	0.3219555144
332	0.3218161123
333	0.3216132599
334	0.3214832116
335	0.3213741973
336	0.3211981253
337	0.3210753853
338	0.3209765623
339	0.3207841613
340	0.3206576858
341	0.3205602378
342	0.3204361667
343	0.3202628696
344	0.3201888363
345	0.3200443641
346	0.3199085956
347	0.319794124
348	0.3196268817
349	0.3195181544
350	0.3194169598
351	0.3193877787
352	0.3192527274
353	0.3191200607
354	0.3189725198
355	0.3188867174
356	0.3187156216
357	0.3186359003
358	0.3185214708
359	0.3183765669
360	0.3181789587
361	0.3180130137
362	0.3178480185
363	0.3177838393
364	0.317655518
365	0.3175437518
366	0.317479284
367	0.3172613209
368	0.3171340861
369	0.3170792256
370	0.3169902286
371	0.3168009045
372	0.3166598618
373	0.3165665329
374	0.3165023339
375	0.3164148254
376	0.3163130582
377	0.3161245207
378	0.3160268967
379	0.3158408228
380	0.3157404472
381	0.3155951275
382	0.3154491128
383	0.3153434831
384	0.3152234555
385	0.3150640027
386	0.3148822852
387	0.3148379807
388	0.3147402184
389	0.3146421175
390	0.3145346883
391	0.3144772586
392	0.3143448853
393	0.3142104029
394	0.3141279622
395	0.3140471147
396	0.3139548313
397	0.3138274398
398	0.3137183309
399	0.3136118507
400	0.3134862017
401	0.3133913016
402	0.3132858776
403	0.3131381366
404	0.313004849
405	0.3128904544
406	0.312751219
407	0.3127103523
408	0.3125476402
409	0.3124644541
410	0.3123513828
411	0.3122691071
412	0.3121827209
413	0.312181365
414	0.3120648728
415	0.3119459797
416	0.3117323074
417	0.3115821154
418	0.3115006061
419	0.3113981679
420	0.3112783564
421	0.3111900849
422	0.3110349961
423	0.3109509201
424	0.3108457915
425	0.3107168091
426	0.3106051868
427	0.3104509433
428	0.3103770524
429	0.3102660695
430	0.3102014211
431	0.3101670361
432	0.3100022205
433	0.3099162214
434	0.3098338227
435	0.3097290451
436	0.309598797
437	0.3094934419
438	0.3094380036
439	0.3093617453
440	0.3092499605
441	0.3090278886
442	0.3089553355
443	0.3088117169
444	0.3087892933
445	0.3087150616
446	0.3085696031
447	0.3083707009
448	0.3082850881
449	0.3081959139
450	0.3080172835
451	0.3079316231
452	0.3078651229
453	0.3077611966
454	0.3076173662
455	0.3074974862
456	0.3074528538
457	0.3073534347
458	0.3072848379
459	0.3071626397
460	0.3070798386
461	0.3070140531
462	0.306884163
463	0.306800441
464	0.3066780886
465	0.3065688114
466	0.3064765429
467	0.3064398374
468	0.3063650955
469	0.3062246803
470	0.3061210761
471	0.3060165339
472	0.305948864
473	0.3057796013
474	0.3056994747
475	0.3056161752
476	0.3055029663
477	0.3053952453
478	0.3052478191
479	0.3051563048
480	0.30498705
481	0.3048946094
482	0.3048317375
483	0.3047224729
484	0.3045754891
485	0.3044708888
486	0.3044187891
487	0.3042477949
488	0.3041250708
489	0.3039903162
490	0.3038947948
491	0.3038042103
492	0.3036976516
493	0.3036010864
494	0.3035152297
495	0.3034188655
496	0.3033561558
497	0.3032386567
498	0.3031519986
499	0.3030028372
500	0.3028342042
501	0.3027514291
502	0.3026218047
503	0.3025089992
504	0.302427937
505	0.3023332052
506	0.3021999373
507	0.3020943943
508	0.3020560258
509	0.3019543491
510	0.3018448
511	0.3017285154
512	0.3016426044
513	0.3014183866
514	0.3012716721
515	0.3012014466
516	0.3011588811
517	0.3009965947
518	0.3008648834
519	0.3007893711
520	0.300644645
521	0.3005083811
522	0.3004698782
523	0.3004080158
524	0.3003230492
525	0.3002282926
526	0.3001154971
527	0.3000707231
528	0.2999693126
529	0.2998782626
530	0.2997708581
531	0.2996120051
532	0.2995030806
533	0.2993552543
534	0.299291534
535	0.2991695986
536	0.2990712379
537	0.2990081789
538	0.2989143029
539	0.2987999162
540	0.2987629232
541	0.2986352313
542	0.2985305551
543	0.2984589939
544	0.298372541
545	0.2982539648
546	0.2981075786
547	0.2979611475
548	0.2978892419
549	0.2977487267
550	0.2976532057
551	0.2975586777
552	0.2974121295
553	0.29735134
554	0.2972521595
555	0.2972124167
556	0.2971173325
557	0.2969971056
558	0.2968974972
559	0.2967949302
560	0.2966953654
561	0.2965954855
562	0.2965358846
563	0.296393711
564	0.29625952
565	0.2961769375
566	0.2960863034
567	0.2960038123
568	0.295916803
569	0.2958344381
570	0.2957116991
571	0.2956505651
572	0.2955368982
573	0.2954601231
574	0.2953954304
575	0.2953153412
576	0.2952260449
577	0.2950955919
578	0.2950325718
579	0.2949366362
580	0.294878256
581	0.2947224501
582	0.2946455576
583	0.2945553828
584	0.2944922759
585	0.2943923953
586	0.2943584579
587	0.2943352221
588	0.2942503386
589	0.2941671985
590	0.293968307
591	0.2938593048
592	0.2937598425
593	0.2936235045
594	0.2935459631
595	0.2934733551
596	0.2933580238
597	0.2933569705
598	0.2932402984
599	0.2931903813
600	0.2930662059
601	0.292932202
602	0.2928733427
603	0.2927708068
604	0.2926340534
605	0.2924687791
606	0.2923957464
607	0.2922961719
608	0.2921473327
609	0.292050994
610	0.2919237737
611	0.2918396247
612	0.2917673927
613	0.2916251721
614	0.2915031468
615	0.2913636883
616	0.2913194701
617	0.2912638133
618	0.2912303585
619	0.2911387529
620	0.2909915193
621	0.2908259232
622	0.2907365812
623	0.2906320029
624	0.290479401
625	0.2903822815
626	0.2903172209
627	0.2903162986
628	0.2902036629
629	0.29005688
630	0.2899813907
631	0.2899132312
632	0.2898869428
633	0.2898026797
634	0.2897053483
635	0.2896007747
636	0.2895487251
637	0.2894202394
638	0.2893678591
639	0.2893128313
640	0.289208176
641	0.2891099441
642	0.28895847
643	0.2887995459
644	0.2886993714
645	0.2885281121
646	0.2883931128
647	0.2883650124
648	0.2882757074
649	0.2881405304
650	0.2880787364
651	0.288022831
652	0.2879290233
653	0.2878962459
654	0.2877544819
655	0.287619646
656	0.2875330448
657	0.2874197308
658	0.2872872112
659	0.2871811169
660	0.2871137757
661	0.2870317524
662	0.2869325159
663	0.2868733438
664	0.2868121207
665	0.2867204801
666	0.2865992082
667	0.2864339699
668	0.2863104123
669	0.2861569086
670	0.2861113114
671	0.285998448
672	0.2859326452
673	0.2858440378
674	0.2857281127
675	0.2856118621
676	0.285589256
677	0.2855436766
678	0.2854796052
679	0.2853777196
680	0.2853420787
681	0.2852772775
682	0.2850865067
683	0.2849566633
684	0.2849129773
685	0.2848067332
686	0.2847446105
687	0.2846674364
688	0.284604974
689	0.2844802064
690	0.2843838761
691	0.2843824101
692	0.2842697009
693	0.2841838433
694	0.2840597044
695	0.2839331637
696	0.2838532969
697	0.2837119485
698	0.2836211742
699	0.2835575352
700	0.2834424575
701	0.2833216142
702	0.2832307575
703	0.2831955088
704	0.2831477251
705	0.2830673972
706	0.2830125774
707	0.2829507395
708	0.2828740988
709	0.282802665
710	0.2827579094
711	0.2826824866
712	0.2826024278
713	0.2825209761
714	0.2824261905
715	0.2823317523
716	0.282295791
717	0.2822645662
718	0.2821372992
719	0.2820408998
720	0.2819706567
721	0.2818641002
722	0.2817787315
723	0.281660021
724	0.2815902633
725	0.2815095679
726	0.2814312145
727	0.2813632503
728	0.2812194025
729	0.281149675
730	0.2810101066
731	0.2809359698
732	0.2808822542
733	0.2807742918
734	0.2807121263
735	0.2805945204
736	0.2805121244
737	0.2804276536
738	0.2802990378
739	0.2802164095
740	0.2801071753
741	0.2800247124
742	0.2799367332
743	0.2798213002
744	0.27969789
745	0.2796363269
746	0.2795288156
747	0.2794389864
748	0.2793786887
749	0.2792979322
750	0.2792164811
751	0.2790896398
752	0.2789674221
753	0.2787941572
754	0.2787207666
755	0.2786679256
756	0.2785706491
757	0.2784483629
758	0.2783682021
759	0.2782382672
760	0.2781397528
761	0.2780726965
762	0.2779921242
763	0.277886573
764	0.2777452126
765	0.277633183
766	0.2775204371
767	0.2773819812
768	0.2772542853
769	0.2771639449
770	0.2770990363
771	0.2769861861
772	0.276892868
773	0.2768022471
774	0.2766706391
775	0.2765378659
776	0.2764952962
777	0.2764450171
778	0.2763541289
779	0.2762483442
780	0.2761891336
781	0.2761309905
782	0.2761239252
783	0.2760244633
784	0.2759182505
785	0.2758104868
786	0.2757319256
787	0.2756202426
788	0.2754904644
789	0.2754255567
790	0.2753358365
791	0.275260856
792	0.2751454499
793	0.2750362336
794	0.2749546058
795	0.2748505012
796	0.2747101499
797	0.2746202977
798	0.2745187467
799	0.2744453334
800	0.2743538558
801	0.2742679721
802	0.2741812884
803	0.2740716275
804	0.2739753453
805	0.2739283897
806	0.2738261523
807	0.2737657345
808	0.2737057641
809	0.2736205246
810	0.2734942531
811	0.2733855071
812	0.2732665228
813	0.2731784951
814	0.2730835537
815	0.2729943348
816	0.2729043094
817	0.2728355649
818	0.2727662569
819	0.2727181683
820	0.2725814268
821	0.2725435231
822	0.2724563771
823	0.2723834176
824	0.2722742637
825	0.2721875845
826	0.2721424071
827	0.2721326474
828	0.272076219
829	0.2720037619
830	0.2719231749
831	0.2718407165
832	0.2717610395
833	0.2715924691
834	0.2715154706
835	0.2714927258
836	0.2714635743
837	0.2714021462
838	0.271358015
839	0.2712723131
840	0.2711750185
841	0.2711069018
842	0.2710394324
843	0.2709341812
844	0.2708442312
845	0.2707966513
846	0.2707003585
847	0.270559827
848	0.270480529
849	0.2703712373
850	0.2703344862
851	0.2702579427
852	0.270161815
853	0.2700836106
854	0.270002214
855	0.2698890983
856	0.2697859437
857	0.2696836472
858	0.2695092874
859	0.2694008182
860	0.2693085191
861	0.2692016246
862	0.2690837925
863	0.268971158
864	0.2689135795
865	0.2688341917
866	0.2687409415
867	0.2686311182
868	0.2685869052
869	0.2685181567
870	0.2684236497
871	0.268357713
872	0.2682620309
873	0.2681695433
874	0.2681181691
875	0.2680425545
876	0.2679859768
877	0.2679229762
878	0.2678786468
879	0.2678016464
880	0.2677500656
881	0.2676731937
882	0.2675438118
883	0.2674386552
884	0.2673286039
885	0.2671855247
886	0.2670980825
887	0.2669448311
888	0.2668514194
889	0.26672377
890	0.2666149619
891	0.2665325059
892	0.2664673874
893	0.2663351154
894	0.266264107
895	0.2661860425
896	0.2661261093
897	0.2660302746
898	0.265940662
899	0.2658622852
900	0.2657255048
901	0.265638146
902	0.2656026473
903	0.2655083221
904	0.2654296813
905	0.2653466958
906	0.2652981982
907	0.2651973806
908	0.2651617131
909	0.2651044931
910	0.2650065846
911	0.2649608587
912	0.2648190354
913	0.2647654639
914	0.2646895787
915	0.264644802
916	0.2645588975
917	0.264499835
918	0.264367284
919	0.2642562892
920	0.2641731024
921	0.2641066123
922	0.2639728065
923	0.2639119771
924	0.263825908
925	0.263786581
926	0.263698174
927	0.2636669794
928	0.2636180659
929	0.2635173544
930	0.2634328029
931	0.2633699691
932	0.2633150051
933	0.2632393964
934	0.2631690258
935	0.263079163
936	0.2630436379
937	0.262949478
938	0.2628285009
939	0.2627300473
940	0.2626565668
941	0.2625714572
942	0.262476015
943	0.262392063
944	0.2623340358
945	0.2622133297
946	0.2621381629
947	0.261983393
948	0.2618927533
949	0.2617790163
950	0.261722187
951	0.2616145424
952	0.2615359621
953	0.2614356904
954	0.2613711639
955	0.2612186566
956	0.2611600484
957	0.2611008573
958	0.2610336549
959	0.2609342112
960	0.2608862577
961	0.2607616643
962	0.2606870581
963	0.26065358
964	0.2605715498
965	0.2604830642
966	0.2604492929
967	0.2603775293
968	0.2603208777
969	0.2602412546
970	0.2601703086
971	0.2600357083
972	0.2599718078
973	0.2598730845
974	0.2597807972
975	0.2596931792
976	0.2596328899
977	0.2595391001
978	0.2594808252
979	0.2594005711
980	0.2593541223
981	0.2593122208
982	0.2592539657
983	0.2591742829
984	0.2590582251
985	0.2589447385
986	0.2588330841
987	0.2587345184
988	0.2586535444
989	0.2585407844
990	0.2584542442
991	0.2583790193
992	0.2582775154
993	0.2581292172
994	0.2580673376
995	0.2580006764
996	0.257920952
997	0.2578352789
998	0.2577220105
999	0.2576834051
